year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,2,DPi,Tequila Patron ESM,Nissan P,Scott Sharp,Ryan Dalziel,Brendon Hartley,,,Tequila Patron ESM Nissan DPi | P | 1.Scott Sharp 3.Brendon Hartley | 2.Ryan Dalziel
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Mike Rockenfeller,Antonio Garcia,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen 3.Antonio Garcia | 2.Mike Rockenfeller
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,Marcel Fassler,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin 3.Marcel Fassler | 2.Tommy Milner
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Joao Barbosa,Christian Fittipaldi,Filipe Albuquerque,,,Mustang Sampling Racing Cadillac DPi | P | 1.Joao Barbosa 3.Filipe Albuquerque | 2.Christian Fittipaldi
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,6,LMP2,Team Penske,ORECA P,Juan Pablo Montoya,Helio Castroneves,Simon Pagenaud,,,Team Penske ORECA LMP2 | P | 1.Juan Pablo Montoya 3.Simon Pagenaud | 2.Helio Castroneves
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Ricky Taylor,Jordan Taylor,Ryan Hunter-Reay,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Ricky Taylor 3.Ryan Hunter-Reay | 2.Jordan Taylor
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,13,LMP2,Rebellion Racing,ORECA P,Mathias Beche,Nick Heidfeld,Gustavo Menezes,,,Rebellion Racing ORECA LMP2 | P | 1.Mathias Beche 3.Gustavo Menezes | 2.Nick Heidfeld
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,14,GTD,3GT Racing,Lexus RCF GT3,Sage Karam,Robert Alon,Ian James,,,3GT Racing Lexus RCF GT3 | GTD | 1.Sage Karam 3.Ian James | 2.Robert Alon
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,15,GTD,3GT Racing,Lexus RCF GT3,Jack Hawksworth,Scott Pruett,Austin Cindric,,,3GT Racing Lexus RCF GT3 | GTD | 1.Jack Hawksworth 3.Austin Cindric | 2.Scott Pruett
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,16,GTD,Change Racing Lamborghini,Huracan GT3,Jeroen Mul,Brett Sandberg,Corey Lewis,,,Change Racing Lamborghini Huracan GT3 | GTD | 1.Jeroen Mul 3.Corey Lewis | 2.Brett Sandberg
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,20,PC,BAR1 Motorsports,ORECA FLM09,Don Yount,Buddy Rice,Daniel Burkett,,,BAR1 Motorsports ORECA FLM09 | PC | 1.Don Yount 3.Daniel Burkett | 2.Buddy Rice
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,22,DPi,Tequila Patron ESM,Nissan P,Johannes van Overbeek,Luis Felipe Derani,Bruno Senna,,,Tequila Patron ESM Nissan DPi | P | 1.Johannes van Overbeek 3.Bruno Senna | 2.Luis Felipe Derani
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,23,GTD,Alex Job Racing,Audi R8 LMS GT3,Bill Sweedler,Townsend Bell,Frank Montecalvo,,,Alex Job Racing Audi R8 LMS GT3 | GTD | 1.Bill Sweedler 3.Frank Montecalvo | 2.Townsend Bell
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,24,GTLM,BMW Team RLL,BMW M6,John Edwards,Martin Tomczyk,Nicky Catsburg,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.John Edwards 3.Nicky Catsburg | 2.Martin Tomczyk
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,25,GTLM,BMW Team RLL,BMW M6,Bill Auberlen,Alexander Sims,Kuno Wittmer,,,BMW Team RLL BMW M6 GTLM | GTLM | 1.Bill Auberlen 3.Kuno Wittmer | 2.Alexander Sims
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,26,PC,BAR1 Motorsports,ORECA FLM09,Garett Grist,Tomy Drissi,John Falb,,,BAR1 Motorsports ORECA FLM09 | PC | 1.Garett Grist 3.John Falb | 2.Tomy Drissi
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,28,GTD,Alegra Motorsports,Porsche 911 GT3 R,Daniel Morad,Michael Christensen,Michael de Quesada,,,Alegra Motorsports Porsche 911 GT3 R | GTD | 1.Daniel Morad 3.Michael de Quesada | 2.Michael Christensen
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,29,GTD,Montaplast by Land-Motorsport,Audi R8 LMS GT3,Connor De Phillippi,Sheldon van der Linde,Christopher Mies,,,Montaplast by Land-Motorsport Audi R8 LMS GT3 | GTD | 1.Connor De Phillippi 3.Christopher Mies | 2.Sheldon van der Linde
2017,25_Road Atlanta,Road Atlanta,road-atlanta,2017-10-07,201710071105_Race,31,DPi,Whelen Engineering Racing,Cadillac P,Dane Cameron,Eric Curran,Michael Conway,,,Whelen Engineering Racing Cadillac DPi | P | 1.Dane Cameron 3.Michael Conway | 2.Eric Curran
