year,event_code,event_name,track_slug,race_date,session_directory,car_number,class,team,vehicle,driver_1,driver_2,driver_3,driver_4,driver_5,metadata_text
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,3,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Jan Magnussen,Antonio Garcia,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Jan Magnussen | 2.Antonio Garcia
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,4,GTLM,Corvette Racing,Chevrolet Corvette C7.R,Oliver Gavin,Tommy Milner,,,,Corvette Racing Chevrolet Corvette C7.R | GTLM | 1.Oliver Gavin | 2.Tommy Milner
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,5,DPi,Mustang Sampling Racing,Cadillac P,Filipe Albuquerque,Christian Fittipaldi,,,,Mustang Sampling Racing Cadillac DPi | P | 1.Filipe Albuquerque | 2.Christian Fittipaldi
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,6,DPi,Acura Team Penske,Acura P,Dane Cameron,Juan Pablo Montoya,,,,Acura Team Penske Acura DPi | P | 1.Dane Cameron | 2.Juan Pablo Montoya
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,7,DPi,Acura Team Penske,Acura P,Helio Castroneves,Ricky Taylor,,,,Acura Team Penske Acura DPi | P | 1.Helio Castroneves | 2.Ricky Taylor
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,10,DPi,Konica Minolta Cadillac DPi-V.R,Cadillac P,Renger Van Der Zande,Jordan Taylor,,,,Konica Minolta Cadillac DPi-V.R Cadillac DPi | P | 1.Renger Van Der Zande | 2.Jordan Taylor
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,14,GTD,3GT Racing,Lexus RC F GT3,Dominik Baumann,Kyle Marcelli,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Dominik Baumann | 2.Kyle Marcelli
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,15,GTD,3GT Racing,Lexus RC F GT3,Jack Hawksworth,David Heinemeier Hansson,,,,3GT Racing Lexus RC F GT3 | GTD | 1.Jack Hawksworth | 2.David Heinemeier Hansson
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,16,GTD,Wright Motorsports,Porsche 911 GT3 R,Michael Schein,Wolf Henzler,,,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Michael Schein | 2.Wolf Henzler
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,22,DPi,Tequila Patron ESM,Nissan P,Pipo Derani,Ryan Dalziel,,,,Tequila Patron ESM Nissan DPi | P | 1.Pipo Derani | 2.Ryan Dalziel
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,24,GTLM,BMW Team RLL,BMW M8 GTE,Jesse Krohn,John Edwards,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Jesse Krohn | 2.John Edwards
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,25,GTLM,BMW Team RLL,BMW M8 GTE,Alexander Sims,Connor De Phillippi,,,,BMW Team RLL BMW M8 GTE | GTLM | 1.Alexander Sims | 2.Connor De Phillippi
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,31,DPi,Whelen Engineering Racing,Cadillac P,Felipe Nasr,Eric Curran,,,,Whelen Engineering Racing Cadillac DPi | P | 1.Felipe Nasr | 2.Eric Curran
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,33,GTD,Mercedes-AMG Team Riley Motorsports,Mercedes-AMG GT3,Ben Keating,Jeroen Bleekemolen,,,,Mercedes-AMG Team Riley Mercedes-AMG GT3 | Motorsports GTD | 1.Ben Keating | 2.Jeroen Bleekemolen
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,44,GTD,Magnus Racing,Audi R8 LMS GT3,John Potter,Andy Lally,,,,Magnus Racing Audi R8 LMS GT3 | GTD | 1.John Potter | 2.Andy Lally
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,48,GTD,Paul Miller Racing Lamborghini,Huracan GT3,Bryan Sellers,Madison Snow,,,,Paul Miller Racing Lamborghini Huracan GT3 | GTD | 1.Bryan Sellers | 2.Madison Snow
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,52,LMP2,AFS/PR1 Mathiasen Motorsports,Ligier P,Sebastian Saavedra,Gustavo Yacaman,,,,AFS/PR1 Mathiasen Motorsports Ligier LMP2 | P | 1.Sebastian Saavedra | 2.Gustavo Yacaman
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,54,LMP2,CORE autosport,ORECA P,Jonathan Bennett,Colin Braun,,,,CORE autosport ORECA LMP2 | P | 1.Jonathan Bennett | 2.Colin Braun
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,55,DPi,Mazda Team Joest,Mazda P,Jonathan Bomarito,Harry Tincknell,,,,Mazda Team Joest Mazda DPi | P | 1.Jonathan Bomarito | 2.Harry Tincknell
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,58,GTD,Wright Motorsports,Porsche 911 GT3 R,Patrick Long,Christina Nielsen,,,,Wright Motorsports Porsche 911 GT3 R | GTD | 1.Patrick Long | 2.Christina Nielsen
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,63,GTD,Scuderia Corsa,Ferrari 488 GT3,Cooper MacNeil,Jeff Segal,,,,Scuderia Corsa Ferrari 488 GT3 | GTD | 1.Cooper MacNeil | 2.Jeff Segal
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,66,GTLM,Ford Chip Ganassi Racing,Ford GT,Joey Hand,Dirk Mueller,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Joey Hand | 2.Dirk Mueller
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,67,GTLM,Ford Chip Ganassi Racing,Ford GT,Ryan Briscoe,Richard Westbrook,,,,Ford Chip Ganassi Racing Ford GT | GTLM | 1.Ryan Briscoe | 2.Richard Westbrook
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,77,DPi,Mazda Team Joest,Mazda P,Oliver Jarvis,Tristan Nunez,,,,Mazda Team Joest Mazda DPi | P | 1.Oliver Jarvis | 2.Tristan Nunez
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,85,LMP2,JDC-Miller Motorsports,ORECA P,Simon Trummer,Robert Alon,,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Simon Trummer | 2.Robert Alon
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,86,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Katherine Legge,Alvaro Parente,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Katherine Legge | 2.Alvaro Parente
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,93,GTD,Meyer Shank Racing w/ Curb-Agajanian,Acura NSX GT3,Justin Marks,Lawson Aschenbach,,,,Meyer Shank Racing w/ Acura NSX GT3 | Curb-Agajanian GTD | 1.Justin Marks | 2.Lawson Aschenbach
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,96,GTD,Turner Motorsport,BMW M6 GT3,Robby Foley,Bill Auberlen,,,,Turner Motorsport BMW M6 GT3 | GTD | 1.Robby Foley | 2.Bill Auberlen
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,99,LMP2,JDC-Miller Motorsports,ORECA P,Misha Goikhberg,Stephen Simpson,,,,JDC-Miller Motorsports ORECA LMP2 | P | 1.Misha Goikhberg | 2.Stephen Simpson
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,911,GTLM,Porsche GT Team,Porsche RSR,Nick Tandy,Patrick Pilet,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Nick Tandy | 2.Patrick Pilet
2018,13_Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,canadian-tire-motorsport-park,2018-07-08,201807081405_Race,912,GTLM,Porsche GT Team,Porsche 911 RSR,Laurens Vanthoor,Earl Bamber,,,,Porsche GT Team Porsche 911 RSR | GTLM | 1.Laurens Vanthoor | 2.Earl Bamber
